Region	Enabled	DataFlag	Start	End	Step	Sweeps	Dwell	Mode	CAE/CRR	Mag	Divide by Ten	Notes	Function	Line-Style	Point-Style	Sweeps-Acquired
1	true	Original	520.000	550.000	0.100	3	0.200	CAE	20.00	High	false	O1s-Sb3d	7 Channel Acquisition			3
Layer	Enabled	DataFlag	Notes	Formula	Line-Style	Point-Style
1	True		Ch(1)+Ch(2)+Ch(3)+Ch(4)+Ch(5)+Ch(6)+Ch(7)		
Energy	Counts
288.700	8140
288.800	8303
288.900	8232
289.000	8208
289.100	8363
289.200	8223
289.300	8193
289.400	8120
289.500	8027
289.600	8019
289.700	7832
289.800	7937
289.900	7869
290.000	8097
290.100	7949
290.200	7912
290.300	7983
290.400	7877
290.500	7870
290.600	7929
290.700	7911
290.800	7827
290.900	7933
291.000	8048
291.100	7735
291.200	7784
291.300	7796
291.400	7785
291.500	7786
291.600	7682
291.700	7579
291.800	7739
291.900	7714
292.000	7766
292.100	7795
292.200	7709
292.300	7742
292.400	7848
292.500	7775
292.600	7693
292.700	7894
292.800	7706
292.900	7788
293.000	7688
293.100	7545
293.200	7813
293.300	7720
293.400	7602
293.500	7577
293.600	7864
293.700	7761
293.800	7765
293.900	7878
294.000	7828
294.100	7793
294.200	7787
294.300	7717
294.400	7768
294.500	7781
294.600	7866
294.700	7908
294.800	7807
294.900	7868
295.000	7771
295.100	7937
295.200	7858
295.300	7968
295.400	7907
295.500	7971
295.600	7974
295.700	7926
295.800	7977
295.900	7847
296.000	7837
296.100	7897
296.200	8048
296.300	7973
296.400	7999
296.500	8037
296.600	8011
296.700	8117
296.800	8077
296.900	7999
297.000	8167
297.100	8139
297.200	8111
297.300	8119
297.400	8098
297.500	8178
297.600	8071
297.700	8035
297.800	8085
297.900	8242
298.000	8161
298.100	8255
298.200	8157
298.300	8140
298.400	8160
298.500	8128
298.600	8296
298.700	8322
298.800	8177
298.900	8209
299.000	8328
299.100	8359
299.200	8354
299.300	8321
299.400	8303
299.500	8462
299.600	8487
299.700	8456
299.800	8301
299.900	8462
300.000	8469
Region	Enabled	DataFlag	Start	End	Step	Sweeps	Dwell	Mode	CAE/CRR	Mag	Divide by Ten	Notes	Function	Line-Style	Point-Style	Sweeps-Acquired
3	true	Original	160.000	180.000	0.100	10	0.200	CAE	20.00	High	false	S2p	7 Channel Acquisition			10
Layer	Enabled	DataFlag	Notes	Formula	Line-Style	Point-Style
1	True		Ch(1)+Ch(2)+Ch(3)+Ch(4)+Ch(5)+Ch(6)+Ch(7)		
Energy	Counts
160.000	11435
160.100	11556
160.200	11575
160.300	11731
160.400	11711
160.500	11737
160.600	11705
160.700	11706
160.800	11769
160.900	11743
161.000	11731
161.100	11746
161.200	11678
161.300	11907
161.400	11954
161.500	11992
161.600	11784
161.700	11822
161.800	11673
161.900	11600
162.000	11716
162.100	11697
162.200	11956
162.300	12057
162.400	11950
162.500	12115
162.600	12184
162.700	12084
162.800	12377
162.900	12492
163.000	12534
163.100	12766
163.200	13021
163.300	13389
163.400	13900
163.500	14264
163.600	15147
163.700	15695
163.800	16348
163.900	16661
164.000	17083
164.100	17313
164.200	17153
164.300	17132
164.400	16552
164.500	16294
164.600	15992
164.700	15942
164.800	15615
164.900	15761
165.000	15514
165.100	15364
165.200	15505
165.300	15345
165.400	14974
165.500	14878
165.600	14508
165.700	14414
165.800	13834
165.900	13721
166.000	13420
166.100	13403
166.200	13046
166.300	13050
166.400	12848
166.500	12994
166.600	12679
166.700	12732
166.800	12631
166.900	12851
167.000	12528
167.100	12744
167.200	12478
167.300	12685
167.400	12524
167.500	12501
167.600	12573
167.700	12510
167.800	12634
167.900	12481
168.000	12579
168.100	12455
168.200	12658
168.300	12532
168.400	12400
168.500	12422
168.600	12682
168.700	12584
168.800	12595
168.900	12529
169.000	12552
169.100	12634
169.200	12651
169.300	12820
169.400	12622
169.500	12668
169.600	12594
169.700	12644
169.800	12864
169.900	12567
170.000	12542
170.100	12664
170.200	12609
170.300	12667
170.400	12482
170.500	12660
170.600	12730
170.700	12672
170.800	12913
170.900	12678
171.000	12610
171.100	12839
171.200	12735
171.300	12689
171.400	12947
171.500	12903
171.600	12884
171.700	12840
171.800	12924
171.900	12790
172.000	12829
172.100	12820
172.200	12782
172.300	12901
172.400	12886
172.500	12820
172.600	12882
172.700	13046
172.800	13013
172.900	12887
173.000	12743
173.100	12800
173.200	12805
173.300	12998
173.400	13044
173.500	13021
173.600	13037
173.700	13292
173.800	13023
173.900	12984
174.000	13011
174.100	13156
174.200	13204
174.300	12929
174.400	13070
174.500	13144
174.600	13060
174.700	13015
174.800	13192
174.900	13156
175.000	12959
175.100	13210
175.200	13105
175.300	13182
175.400	13231
175.500	13139
175.600	13220
175.700	13138
175.800	13114
175.900	13232
176.000	13285
176.100	13134
176.200	13397
176.300	13253
176.400	13277
176.500	13440
176.600	13440
176.700	13330
176.800	13258
176.900	13245
177.000	13247
177.100	13411
177.200	13352
177.300	13580
177.400	13346
177.500	13322
177.600	13407
177.700	13469
177.800	13491
177.900	13371
178.000	13386
178.100	13532
178.200	13346
178.300	13532
178.400	13471
178.500	13460
178.600	13601
178.700	13525
178.800	13300
178.900	13402
179.000	13179
179.100	13423
179.200	13593
179.300	13731
179.400	13785
179.500	13496
179.600	13432
179.700	13672
179.800	13571
179.900	13576
180.000	13715
